登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
PD20152113,敌草快,除草剂,水剂,20%,2030-9-21,广东真格生物科技有限公司,四会市江谷镇精细化工区创展三街5号
PD20152112,草甘膦,除草剂,可溶粒剂,68%,2030-9-21,镇江建苏农药化工有限公司,江苏省镇江市大港孩溪路12号
PD20152111,灭胺·杀虫单,杀虫剂,可湿性粉剂,75%,2030-9-21,江西禾益化工股份有限公司,矶山生态工业园
PD20152110,枯草芽孢杆菌,杀菌剂,可湿性粉剂,100亿个/克,2030-9-21,云南星耀生物制品有限公司,云南省昆明市杨林工业区天水路3号
PD20152109,敌草快,除草剂,水剂,200克/升,2030-9-21,广东立农生物科技有限公司,广东省化州市同庆镇龙豆管理区林科所内
PD20152108,砜嘧磺隆,除草剂,水分散粒剂,25%,2030-9-21,江苏富田农化有限公司,江苏省南京市化学工业园红山精细化工园双巷路60号（六合区瓜埠镇内）
PD20152107,氰氟草酯,除草剂,水乳剂,10%,2030-9-21,江苏三山生物科技有限公司,淮安工业园区枚乘西路118号
PD20152106,五氟·丁草胺,除草剂,悬乳剂,40%,2030-9-21,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20152105,草甘膦铵盐,除草剂,水剂,30%,2030-9-21,江苏扬农化工股份有限公司,江苏省扬州市文峰路39号
PD20152104,噻霉酮,杀菌剂,原药,95%,2030-9-21,安道麦辉丰（江苏）有限公司,江苏省盐城市大丰区王港闸南首
PD20152103,苯醚甲环唑,杀菌剂,悬浮种衣剂,3%,2030-9-21,河南领先作物科学有限公司,驻马店市汝河大道东49号
PD20152102,毒死蜱,杀虫剂,水乳剂,40%,2030-9-21,招远三联化工厂有限公司,山东省招远市金岭镇大户陈家村
PD20152101,硝·精·莠去津,除草剂,悬乳剂,38.5%,2030-9-21,瑞士先正达作物保护有限公司,上海市中国(上海)自由贸易试验区栖霞路26弄3号富汇大厦6楼
PD20152100,甲·灭·敌草隆,除草剂,可湿性粉剂,86%,2030-9-21,广西汇丰生物科技有限公司,广西壮族自治区覃塘区产业园甘化园区
PD20152099,2甲·炔草酯,除草剂,可湿性粉剂,45%,2030-9-21,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20152098,硝磺·莠去津,除草剂,悬浮剂,55%,2030-9-21,安徽久易农业股份有限公司,安徽省合肥市循环经济示范园
PD20152097,吡唑醚菌酯,杀菌剂,原药,98%,2030-9-21,如东众意化工有限公司,江苏省南通市如东洋口工业开发区
PD20152096,双氟磺草胺,除草剂,悬浮剂,50克/升,2030-9-21,安徽美兰农业发展股份有限公司,安徽省合肥市蜀山区小庙工业聚集区
PD20152095,烯酰吗啉,杀菌剂,悬浮剂,50%,2030-9-21,山东润扬化学有限公司,山东省龙口市龙泉路168号
PD20152094,高效氯氟氰菊酯,杀虫剂,水乳剂,10%,2030-9-21,山东绿丰农药有限公司,山东省青州市马氏路南段东侧
PD20152093,丁硫·戊唑醇,杀虫/杀菌剂,悬浮种衣剂,8%,2030-9-21,山西省临汾海兰实业有限公司,山西省临汾市经济技术开发区河汾一路
PD20152092,异菌脲,杀菌剂,悬浮剂,255克/升,2030-9-21,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20152091,氰霜唑,杀菌剂,悬浮剂,100克/升,2030-9-21,孟州广农汇泽生物科技有限公司,河南省孟州市产业集聚区
PD20152090,草甘膦铵盐,除草剂,可溶粒剂,80%,2030-9-21,河南中天恒信生物化学科技有限公司,河南省郑州市农业路政七街交叉口省汇中心B座2107
PD20152089,氟环唑,杀菌剂,悬浮剂,125克/升,2030-9-21,福建新农大正生物工程有限公司,福建省福州市仓山区建新镇金工2号福州海峡创意产业园2号楼3层2310单元
PD20152088,戊唑醇,杀菌剂,原药,97%,2030-9-21,爱斯特克生物科学有限公司,上海市西藏中路18号港陆广场1001-1003室
PD20152087,草甘膦铵盐,除草剂,原药,89%,2030-9-21,福华通达化学股份公司,四川省乐山市五通桥区金粟镇福华通达农药1号门
PD20152085,双草醚,除草剂,原药,97%,2030-9-21,山东辉瀚生物科技有限公司,山东省威海市南海新区滨海路65号
PD20152084,敌草隆,除草剂,原药,98.5%,2030-9-21,山东潍坊润丰化工股份有限公司,山东省潍坊市滨海经济开发区氯碱路03001号
PD20152083,吡虫啉,杀虫剂,悬浮种衣剂,600克/升,2030-9-21,山东禾宜生物科技有限公司,山东省潍坊市滨海经济技术开发区华商路以东创新街以北
PD20152082,氰氟草酯,除草剂,水乳剂,15%,2030-9-21,青岛金尔农化研制开发有限公司,青岛胶州市胶州湾工业园金尔路1号
PD20152081,甲·灭·氰草津,除草剂,可湿性粉剂,48%,2030-9-21,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20152080,烯酰·霜脲氰,杀菌剂,可湿性粉剂,25%,2030-9-21,山东禾宜生物科技有限公司,山东省潍坊市滨海经济技术开发区华商路以东创新街以北
PD20152079,代森锰锌,杀菌剂,水分散粒剂,80%,2030-9-21,山东海讯生物科技有限公司,山东省商河县商河经济技术开发区和谐路6号
PD20152078,氰霜唑,杀菌剂,悬浮剂,100克/升,2030-9-21,农圣生物技术（山东）有限公司,山东省德州市临邑县恒源街道远征路北首路东86号
PD20152077,多杀霉素,杀虫剂,悬浮剂,25克/升,2030-9-21,山东省长清农药厂有限公司,山东省济南经济开发区南园长兴路2001号
PD20152076,嘧菌酯,杀菌剂,悬浮剂,25%,2030-9-21,江西省赣州宇田化工有限公司,江西省赣州市章贡区水东镇七里村
PD20152075,2甲·氯氟吡,除草剂,微乳剂,42%,2030-9-21,四川利尔作物科学有限公司,四川省绵阳涪城区丰谷镇双拥路77号
PD20152074,虫螨腈,杀虫剂,悬浮剂,10%,2030-9-21,石家庄瑞凯化工有限公司,河北省赵县生物产业园兴旺路1号
WP20150162,杀蟑胶饵,卫生杀虫剂,胶饵,0.05%,2030-9-20,四川省成都彩虹电器（集团）股份有限公司,四川省成都市武侯区武侯大道顺江段73号
WP20100118,防蛀片剂,卫生杀虫剂,防蛀剂,18%,2030-9-20,白元安速株式会社,天津市经济技术开发区西区新安路98号
WP20100117,杀蟑饵粒,卫生杀虫剂,饵剂,2.5%,2030-9-20,辽宁山水益农科技有限公司,辽宁省辽阳市灯塔市铁西工业街北段东侧
PD20152072,噻虫嗪,杀虫剂,水分散粒剂,25%,2030-9-20,江阴苏利化学股份有限公司,江苏省江阴市利港镇润华路7号
PD20152015,淡紫拟青霉,杀菌剂,粉剂,2亿孢子/克,2030-9-20,江西新龙生物科技股份有限公司,江西省宜春市袁州区医药工业园
PD20152013,双草醚,除草剂,悬浮剂,20%,2030-9-20,青岛瀚生生物科技股份有限公司,青岛莱西市深圳南路210号
PD20151950,甲氧虫酰肼,杀虫剂,悬浮剂,24%,2030-9-20,浙江世佳科技股份有限公司,浙江省湖州市德清县阜溪街道伟业路222号（湖州莫干山高新区）
PD20151900,24-表芸苔素内酯,植物生长调节剂,可溶液剂,0.0016%,2030-9-20,浙江世佳科技股份有限公司,浙江省湖州市德清县阜溪街道伟业路222号（湖州莫干山高新区）
PD20151857,噻虫嗪,杀虫剂,水分散粒剂,25%,2030-9-20,江苏剑牌农化股份有限公司,江苏省盐城市建湖县城冠华东路1008号
PD20151809,草铵膦,除草剂,水剂,30%,2030-9-20,安徽方大千坤植保科技有限公司,安徽省广德市新杭镇彭村村精细化工园
PD20151805,吡虫啉,杀虫剂,原药,97%,2030-9-20,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20151694,噻唑膦,杀菌剂,颗粒剂,10%,2030-9-20,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20151555,唑醚·丙森锌,杀菌剂,水分散粒剂,50%,2030-9-20,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20151547,吡唑醚菌酯,杀菌剂,悬浮剂,25%,2030-9-20,山东仕邦农化有限公司,山东省菏泽市单县谢集镇单县化工产业园滨河北路中段路东
PD20101983,井冈霉素,杀菌剂,可溶粉剂,20%,2030-9-20,河北金德伦生化科技有限公司,河北省石家庄市鹿泉市寺家庄镇东营北街
PD20101982,丙溴磷,杀虫剂,乳油,40%,2030-9-20,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20101981,戊唑醇,杀菌剂,乳油,25%,2030-9-20,山东先达农化股份有限公司,山东省博兴经济开发区
PD20101980,敌敌畏,杀虫剂,乳油,50%,2030-9-20,广西农宝农药有限公司,博白县旺茂镇大康村大坪背
PD20101979,氟虫脲,杀虫剂,可分散液剂,50克/升,2030-9-20,安阳新全丰生物科技有限公司,河南省安阳市北关区民航路街道创业大道中段路北11号
PD20101978,zeta-氯氰菊酯,杀虫剂,原药,总酯：92%，S异构体：88%,2030-9-20,内蒙古佳瑞米精细化工有限公司,内蒙古自治区乌海市乌达经济开发区中成路东
PD20101977,代森锌,杀菌剂,可湿性粉剂,65%,2030-9-20,青岛泰源科技发展有限公司,山东省青岛市莱西市望城街道办事处福州路2号
PD20101976,莠去津,除草剂,水分散粒剂,90%,2030-9-20,辽宁天一农药化工有限责任公司,辽宁省盘锦辽东湾新区化工园区
PD20101975,敌草胺,除草剂,水分散粒剂,50%,2030-9-20,浙江禾本科技股份有限公司,浙江省温州市沿江工业区后京连墩路
PD20101974,甲氨基阿维菌素苯甲酸盐,杀虫剂,乳油,1%,2030-9-20,山东新势立生物科技有限公司,山东省德州市宁津县时集工业园
PD20101973,赤霉酸,植物生长调节剂,可溶片剂,20%,2030-9-20,江苏丰源生物工程有限公司,江苏省射阳县合德镇红旗路6号(原9号)
PD20101972,哒螨灵,杀虫剂,可湿性粉剂,20%,2030-9-20,山东万豪作物科学有限公司,山东商河经济开发区力源街166号
PD20101971,氯虫苯甲酰胺,杀虫剂,原药,95.3%,2030-9-20,富美实（上海）农业科技有限公司,上海市浦东新区浦东北路3055号
PD20101970,阿维·高氯,杀虫剂,乳油,2%,2030-9-20,山东省联合农药工业有限公司,山东省泰安市岱岳区范镇胜利路中段
PD20101969,甲氰菊酯,杀虫剂,乳油,20%,2030-9-20,烟台沐丹阳药业有限公司,山东省海阳市徐家店镇
PD20101968,啶虫脒,杀虫剂,水分散粒剂,40%,2030-9-20,陕西恒田生物农业有限公司,陕西省渭南市渭南国家农业科技园大荔核心区
PD20101966,甲氨基阿维菌素苯甲酸盐(1.14%),杀虫剂,乳油,/,2030-9-20,上海惠光环境科技有限公司,上海市奉贤区泰日镇航塘公路2701号
PD20101965,阿维·炔螨特,杀虫剂,乳油,40%,2030-9-20,江西正邦作物保护股份有限公司,江西省高安市新世纪工业城
PD20101964,辛硫·三唑磷,杀虫剂,乳油,20%,2030-9-20,力克（河南）化工科技有限公司,河南省驻马店市中原大道与清河大道交叉口往南150米6号
PD20101963,噻嗪酮,杀虫剂,原药,97%,2030-9-20,江苏健谷化工有限公司,江苏省宿迁生态化工科技产业园
PD1-85,溴氰菊酯,杀虫剂,乳油,25克/升,2030-9-20,拜耳股份公司,北京市朝阳区东大桥路9号楼6层4单元601室内D06单元、1单元601室内A03-A06单元
WP20100115,防蛀片剂,卫生杀虫剂,防蛀剂,35%,2030-9-19,白元安速株式会社,天津市经济技术开发区西区新安路98号
PD20101962,啶虫脒,杀虫剂,可溶粉剂,20%,2030-9-19,河北冠龙农化有限公司,河北省衡水工业新区循环经济园区威武大街8号
PD20101960,甲氨基阿维菌素苯甲酸盐(0.57%),杀虫剂,微乳剂,/,2030-9-19,南京南农农药科技发展有限公司,江苏省南京化学工业园区普桥路183号
PD20101959,福·福锌,杀菌剂,可湿性粉剂,72%,2030-9-19,山东省济南赛普实业有限公司,山东省济南市高新区新宇路西侧三庆世纪财富中心A3座4层
PD20101958,己唑醇,杀菌剂,悬浮剂,5%,2030-9-19,陕西诺正生物科技有限公司,陕西省渭南市蒲城县农化基地工业园区
PD20101957,赤霉酸,植物生长调节剂,可溶片剂,10%,2030-9-19,江苏丰源生物工程有限公司,江苏省射阳县合德镇红旗路6号(原9号)
PD20101956,联苯菊酯,杀虫剂,微乳剂,10%,2030-9-19,陕西标正作物科学有限公司,高新技术产业开发区朝阳大街西段67号
PD20101955,高氯·马,杀虫剂,乳油,30%,2030-9-19,辽宁山水益农科技有限公司,辽宁省辽阳市灯塔市铁西工业街北段东侧
PD20101954,五硝·多菌灵,杀菌剂,可湿性粉剂,40%,2030-9-19,华丰作物科技（黑龙江）有限公司,黑龙江省齐齐哈尔市建华区建华乡
PD20101953,乙氧氟草醚,除草剂,乳油,240克/升,2030-9-19,潍坊中农联合化工有限公司,山东省潍坊市滨海经济开发区临港工业园
PD20101952,联苯菊酯,杀虫剂,乳油,100克/升,2030-9-19,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20101951,苯磺隆,除草剂,水分散粒剂,75%,2030-9-19,江苏建农植物保护有限公司,江苏滨海经济开发区沿海工业园黄海路
PD20101950,苯丁·哒螨灵,杀虫剂,乳油,10%,2030-9-19,桂林集琦生化有限公司,广西壮族自治区桂林市育才路55号
PD20101949,吡虫啉,杀虫剂,乳油,5%,2030-9-19,安徽远景作物保护有限公司,安徽省淮南市潘集区平圩镇煤化工大道综合服务中心二楼212室
PD20101948,乙酰甲胺磷,杀虫剂,乳油,30%,2030-9-19,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20101947,戊唑醇,杀菌剂,种子处理悬浮剂,0.2%,2030-9-19,江苏辉丰生物农业股份有限公司,江苏省盐城市大丰区王港闸南首
PD20101946,草甘膦异丙胺盐,除草剂,水剂,30%,2030-9-19,烟台沐丹阳药业有限公司,山东省海阳市徐家店镇
PD20101945,丙环唑,杀菌剂,原药,95%,2030-9-19,辽宁松岳生物科技有限公司,大路南工业园区
PD20101944,高氯·矿物油,杀虫剂,乳油,35%,2030-9-19,山东省济南赛普实业有限公司,山东省济南市高新区新宇路西侧三庆世纪财富中心A3座4层
PD20101943,氯氰菊酯,杀虫剂,乳油,5%,2030-9-19,眉山金广地作物保护科技有限公司,四川省眉山市东坡区高新技术产业园区金泰路1号D10
PD20050146,噻苯隆,植物生长调节剂,原药,98%,2030-9-19,拜耳股份公司,北京市朝阳区东大桥路9号楼6层4单元601室内D06单元、1单元601室内A03-A06单元
PD20050145,噻唑膦,杀线虫剂,颗粒剂,10%,2030-9-19,日本石原产业株式会社,北京市朝阳区东三环北路3号幸福大厦B座1316号
PD20050144,噻唑膦,杀线虫剂,原药,93%,2030-9-19,日本石原产业株式会社,北京市朝阳区东三环北路3号幸福大厦B座1316号
WP20200033,杀虫粉剂,卫生杀虫剂,粉剂,0.6%,2030-9-17,广州瑞丰生物科技有限公司,广东省广州市黄埔区科学大道48号2605
WP20200032,杀蚁饵剂,卫生杀虫剂,饵剂,0.1%,2030-9-17,广州瑞丰生物科技有限公司,广东省广州市黄埔区科学大道48号2605
PD20200774,噁唑酰草胺,除草剂,可分散油悬浮剂,20%,2030-9-17,英国捷利诺华有限公司,安徽省合肥市长江西路乐彩大厦2103室
PD20200773,麦畏·草甘膦,除草剂,可溶粒剂,66%,2030-9-17,南通江山农药化工股份有限公司,南通市经济技术开发区江山路998号
PD20200772,噁草酮,除草剂,悬浮剂,40%,2030-9-17,青岛瀚生生物科技股份有限公司,青岛莱西市深圳南路210号
PD20200771,炔草酯·双氟·唑草酮,除草剂,微乳剂,18%,2030-9-17,海利尔药业集团股份有限公司,山东省青岛市城阳区城东工业园
PD20200770,二氯喹啉酸·特丁津,除草剂,水分散粒剂,50%,2030-9-17,安徽丰乐农化有限责任公司,安徽省肥东县合肥循环经济示范园
PD20200769,氟草·草甘膦,除草剂,可分散油悬浮剂,31%,2030-9-17,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20200768,乙·莠·滴辛酯,除草剂,悬乳剂,66%,2030-9-17,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20200767,麦畏·草甘膦,除草剂,可溶粒剂,64.5%,2030-9-17,江苏明德立达作物科技有限公司,江苏淮安盐化新材料产业园区孔莲路9号
PD20200766,苯唑草酮,除草剂,可分散油悬浮剂,4%,2030-9-17,天津博克百胜科技有限公司,天津市滨海新区大港中塘镇刘塘庄化工区
PD20200765,乙羧·草铵膦,除草剂,可分散油悬浮剂,20%,2030-9-17,湖北贝斯特农化有限责任公司,湖北省随州市曾都区新街随新路1号
PD20200764,唑啉草酯,除草剂,乳油,5%,2030-9-17,福华通达化学股份公司,四川省乐山市五通桥区金粟镇福华通达农药1号门
PD20200763,五氟磺·硝磺·乙磺隆,除草剂,颗粒剂,0.22%,2030-9-17,中土生物科技（安徽）有限责任公司,安徽省合肥市长丰县双墩镇工业园
PD20200762,丙草胺·嘧草醚,除草剂,可分散油悬浮剂,38%,2030-9-17,安徽远景作物保护有限公司,安徽省淮南市潘集区平圩镇煤化工大道综合服务中心二楼212室
PD20200761,丙炔氟草胺,除草剂,悬浮剂,48%,2030-9-17,四川利尔作物科学有限公司,四川省绵阳涪城区丰谷镇双拥路77号
PD20200760,草铵膦,除草剂,可溶液剂,30%,2030-9-17,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20200759,氟醚·灭草松,除草剂,可溶液剂,55%,2030-9-17,山东科赛基农生物工程有限公司,潍坊滨海经济开发区临港化工园南扩区创新街以北、临港路以西
PD20200758,西草净,除草剂,乳油,18%,2030-9-17,山东科赛基农生物工程有限公司,潍坊滨海经济开发区临港化工园南扩区创新街以北、临港路以西
PD20200757,草甘膦钾盐,除草剂,可溶液剂,41%,2030-9-17,湖北泰盛化工有限公司,湖北省宜昌市猇亭区猇亭大道66-4号
PD20200756,环嗪酮,除草剂,水分散粒剂,75%,2030-9-17,迈克斯（如东）化工有限公司,江苏省如东县洋口化工园区
PD20200755,24-表芸苔素内酯,植物生长调节剂,可溶液剂,0.01%,2030-9-17,河南瀚斯作物保护有限公司,河南省商丘市睢阳产业集聚区工业大道与睢化四路交叉口南500米路东
PD20200754,赤霉酸·28-高芸苔素内酯,植物生长调节剂,水分散粒剂,3%,2030-9-17,江西威敌生物科技有限公司,江西省南昌市进贤县工业开发区威化路
PD20200753,赤霉·噻苯隆,植物生长调节剂,可溶液剂,0.5%,2030-9-17,陕西同州大成作物保护有限公司,陕西省渭南市大荔县官池工业园丰沛西路
PD20200752,赤霉·氯吡脲,植物生长调节剂,可溶液剂,0.5%,2030-9-17,陕西同州大成作物保护有限公司,陕西省渭南市大荔县官池工业园丰沛西路
PD20200751,胺鲜·乙烯利,植物生长调节剂,可溶液剂,30%,2030-9-17,江苏丰山生化科技有限公司,江苏省盐城市大丰区西康南路1号
PD20200750,虫螨腈·灭蝇胺,杀虫剂,悬浮剂,20%,2030-9-17,湖南农大海特农化有限公司,绿色化工高新技术产业开发区杨帆大道16号
PD20200749,螺虫·噻虫嗪,杀虫剂,悬浮剂,30%,2030-9-17,江西中迅农化有限公司,江西省南昌市安义县工业园区金属材料产业基地（东阳大道）
PD20200748,甲氰·乙螨唑,杀虫剂,微乳剂,30%,2030-9-17,陕西省蒲城美尔果农化有限责任公司,陕西省蒲城县陈庄镇东鲁村（农化工业园）
PD20200747,球孢白僵菌,杀虫剂,悬浮剂,150亿孢子/克,2030-9-17,广西宾德利生物科技有限公司,广西壮族自治区玉林市玉州区仁厚镇大卢村脚底山
PD20200746,杀单·噻虫嗪,杀虫剂,颗粒剂,0.5%,2030-9-17,广西首控生物科技股份有限公司,高新区科园大道东四路远信大厦13A03室
PD20200745,噻嗪酮,杀虫剂,悬浮剂,40%,2030-9-17,陕西先农生物科技有限公司,陕西省西安市未央区凤城二路海璟国际B2座15楼
PD20200744,噻虫嗪,杀线虫剂,颗粒剂,2%,2030-9-17,天门斯普林植物保护有限公司,湖北省天门市岳口工业园8号路
PD20200743,喹啉铜,杀菌剂,悬浮剂,33.5%,2030-9-17,山东奥胜生物科技有限公司,山东省曹县珠江路378号
PD20200742,硫酸铜钙,杀菌剂,可湿性粉剂,77%,2030-9-17,陕西汤普森生物科技有限公司,陕西蒲城县北环路中段
PD20200741,啶氧菌酯,杀菌剂,悬浮剂,22.5%,2030-9-17,一帆生物科技集团有限公司,浙江省温州市龙湾区瑶溪街道长安路555号
PD20200740,代森联·氟吡菌胺,杀菌剂,水分散粒剂,70%,2030-9-17,陕西先农生物科技有限公司,陕西省西安市未央区凤城二路海璟国际B2座15楼
PD20200739,唑醚·氟硅唑,杀菌剂,乳油,30%,2030-9-17,青岛星牌作物科学有限公司,山东省青岛市莱西市姜山镇前垛埠村(釜山工业园)
PD20200738,氟唑菌酰胺,杀菌剂,悬浮剂,300克/升,2030-9-17,巴斯夫欧洲公司,上海市浦东新区江心沙路300号
PD20200737,硫酸铜钙,杀菌剂,水分散粒剂,77%,2030-9-17,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20200736,唑醚·氟环唑,杀菌剂,悬浮剂,17%,2030-9-17,江苏蓝丰生物化工有限公司,江苏省徐州市新沂市经济开发区宁夏路2号
PD20200735,噻呋·戊唑醇,杀菌剂,水分散粒剂,30%,2030-9-17,广东广康生化科技股份有限公司,英德市农用化工产业链专用基地（英德市沙口镇红丰管理区）
PD20200734,氨基寡糖素·氟啶胺,杀菌剂,悬浮剂,52%,2030-9-17,山东惠民中联生物科技有限公司,山东省济南市商河县韩庙镇济南市植保科技工业园
PD20200733,戊唑醇,杀菌剂,颗粒剂,0.02%,2030-9-17,河北德瑞化工有限公司,河北省藁城市新区1号路1号
PD20200732,双氟·氯氟吡,除草剂/植物生长调节剂,悬乳剂,16%,2030-9-17,广东浩德作物科技有限公司,广东省东莞市大岭山镇大岭山拥军路15号1101室
PD20200731,联苯肼酯·哒螨灵,杀螨剂,悬浮剂,45%,2030-9-17,一帆生物科技集团有限公司,浙江省温州市龙湾区瑶溪街道长安路555号
PD20200730,四聚乙醛,杀螺剂,颗粒剂,6%,2030-9-17,江苏维尤纳特精细化工有限公司,江苏省新沂市化工工业园区(经二路西)
PD20151594,炔草酯,除草剂,可湿性粉剂,15%,2030-9-17,邦农达（潍坊）作物科学有限公司,齐王路5888号
PD20151040,吡蚜酮,杀虫剂,水分散粒剂,50%,2030-9-17,莱恩坪安生态环境有限公司,河南省郑州市高新区科学大道广告产业园区4号楼
PD20101880,烷醇·硫酸铜,杀菌剂,可湿性粉剂,1.5%,2030-9-17,山东思锐生物科技有限公司,山东省济南市商河县韩庙镇济南市植保科技工业园
PD20101942,吡虫啉,杀虫剂,可溶液剂,20%,2030-9-16,江西汇和化工有限公司,永修县云山经济开发区星火工业园
PD90106-24,苏云金杆菌,杀虫剂,悬浮剂,100亿活芽孢/毫升,2030-9-15,山西科锋农业科技有限公司,山西省太原市小店区坞城路南519号
PD20151669,二甲戊灵,除草剂,乳油,330克/升,2030-9-15,津研（河北）生物技术有限公司,河北省沧州市海兴县海兴经济开发区
PD20050142,氯氰菊酯,杀虫剂,乳油,10%,2030-9-12,珠海凯中有限公司,石油化工区兴海路256号
PD20050141,异丙隆,除草剂,可湿性粉剂,25%,2030-9-9,菏泽遍净生物科技有限公司,山东省菏泽市成武县党集镇化工产业园南环路东段
PD20050140,哒螨灵,杀螨剂,原药,95%,2030-9-9,辽宁优创植物保护有限公司,辽宁省葫芦岛市经济开发区东山街1号
PD20050139,异丙隆,除草剂,可湿性粉剂,50%,2030-9-9,菏泽遍净生物科技有限公司,山东省菏泽市成武县党集镇化工产业园南环路东段
PD20050138,顺式氯氰菊酯,杀虫剂,原药,90%,2030-9-9,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20050137,高效氯氰菊酯,杀虫剂,乳油,4.5%,2030-9-9,中科威远（河北）生物药业有限公司,河北省石家庄市东开发区澳怡大厦1706
PD20050136,氯氰菊酯,杀虫剂,乳油,10%,2030-9-9,东莞市瑞德丰生物科技有限公司,广东省东莞市大岭山镇美横街12号
PD20050135,氯氰菊酯,杀虫剂,乳油,5%,2030-9-9,珠海凯中有限公司,石油化工区兴海路256号
PD20050134,高氯·三唑磷,杀虫剂,乳油,15%,2030-9-9,广西田园生化股份有限公司,广西壮族自治区南宁市西乡塘区创新路西段1号质控中心楼
PD20050133,哒螨灵,杀虫剂,可湿性粉剂,20%,2030-9-9,陕西省西安嘉科农化有限公司,陕西省西安市长安区鸣犊镇
WP20050013,电热蚊香液,卫生杀虫剂,电热蚊香液,1.2%,2030-9-8,四川省成都泉源卫生用品有限公司,四川省成都市双流西南航空经济开发区空港二路415号
WP20050012,炔丙菊酯,卫生杀虫剂,滴加液,10%,2030-9-8,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
WP20050011,右旋胺菊酯,卫生杀虫剂,原药,"总酯94%,右旋体90%",2030-9-8,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
PD20050130,三唑磷,杀虫剂/杀菌剂,原药,85%,2030-9-7,一帆生物科技集团有限公司,浙江省温州市龙湾区瑶溪街道长安路555号
PD20152071,氰氟草酯,除草剂,可分散油悬浮剂,20%,2030-9-6,安徽金土地生物科技有限公司,安徽省蚌埠市淮上区沫河口工业园淝河西路南01号院内2号厂房
PD20152070,氯酯磺草胺,除草剂,水分散粒剂,84%,2030-9-6,江苏省农用激素工程技术研究中心有限公司,江苏省常州市新北区岷江路98号
PD20152069,甲基硫菌灵,杀菌剂,糊剂,8%,2030-9-6,山西北方果康宝农药有限公司,山西省晋中市榆次工业园区
PD20152068,噁·氧·莎稗磷,除草剂,微乳剂,37%,2030-9-6,黑龙江省哈尔滨富利生化科技发展有限公司,黑龙江省哈尔滨市南岗区王岗工业园区
PD20152067,灭草松,除草剂,水剂,480克/升,2030-9-6,浙江宇龙药业有限公司,杭州市余杭区临平余杭商会大厦B座23A
PD20152066,烟嘧磺隆,除草剂,原药,95%,2030-9-6,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20152065,苄嘧·唑草酮,除草剂,可湿性粉剂,38%,2030-9-6,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20152064,酰嘧磺隆,除草剂,水分散粒剂,50%,2030-9-6,江苏瑞邦农化股份有限公司,江苏省南通市如东县沿海经济开发区海滨二路18号
PD20152063,烯啶虫胺,杀虫剂,水剂,10%,2030-9-6,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20152062,烯酰吗啉,杀菌剂,悬浮剂,40%,2030-9-6,山东东合生物科技有限公司,山东省商河经济开发区汇源街18号
PD20152061,球孢白僵菌,杀虫剂,可分散油悬浮剂,200亿孢子/克,2030-9-6,山东惠民中联生物科技有限公司,山东省济南市商河县韩庙镇济南市植保科技工业园
PD20152060,咪锰·代森联,杀菌剂,可湿性粉剂,52%,2030-9-6,山东省青岛凯源祥化工有限公司,山东省青岛莱西市水集沽河工业园
PD20152059,烯啶虫胺,杀虫剂,水剂,10%,2030-9-6,山东兆丰年生物科技有限公司,山东省济南市章丘高官寨工业区工业路26号
PD20152058,苯醚甲环唑,杀菌剂,悬浮种衣剂,30克/升,2030-9-6,山东哈维斯生化科技有限公司,山东省青州市开发区
PD20152057,氯酯磺草胺,除草剂,原药,98%,2030-9-6,江苏省农用激素工程技术研究中心有限公司,江苏省常州市新北区岷江路98号
PD20152056,氟环唑,杀菌剂,悬浮剂,25%,2030-9-6,四川科利隆作物科技有限公司,四川省广安市经开区新桥工业园
PD20152055,嘧菌酯,杀菌剂,悬浮剂,25%,2030-9-6,河北伊诺生化有限公司,河北省新乐市新无公路南侧888号
PD20152053,咯菌腈,杀螨剂/杀菌剂,原药,98%,2030-9-6,陕西恒润利农生物科技有限公司,榆神工业区清水工业园浩通路南侧
